序号,一级序号,二级序号,三级序号,二级产品类别,intended_use,grade,row_id
2,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24280,胶质纤维酸性蛋白（GFAP）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1572
3,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24281,窖蛋白-1（Caveolin-1）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1573
4,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24282,结蛋白（Desmin）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1574
5,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24283,紧密连接蛋白-1（Claudin-1）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1575
6,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24284,紧密连接蛋白-18.2（Claudin-18.2）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1576
7,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24285,紧密连接蛋白-3（Claudin-3）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1577
8,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24286,紧密连接蛋白-4（Claudin-4）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1578
9,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24287,紧密连接蛋白-7（Claudin-7）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1579
10,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24288,精氨酸酶-1（Arginase-1）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1580
1,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24289,巨噬细胞（Macrophage）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1581
2,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24290,聚束蛋白（Fascin）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1582
3,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24291,抗酒石酸酸性磷酸酶（TRACP）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1583
4,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24292,抗平滑肌抗体（SMA）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1584
5,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24293,平滑肌肌球蛋白（Smooth Muscle Myosin）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1585
6,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24294,抗人端粒酶逆转录酶（h-TERT）蛋白抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1586
7,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24295,抗血栓调节蛋白抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1587
8,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24296,抗胰岛素样生长因子受体1抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1588
9,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24297,颗粒酶B（Granzyme B）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1589
10,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24298,酪氨酸酶（Tyrosinase）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1590
1,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24299,类固醇生成因子-1（SF-1）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1591
2,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24300,类胰蛋白酶（Tryptase）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1592
3,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24301,磷酸化组蛋白H3（PHH3）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1593
4,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24302,膜联蛋白A1（Annexin A1）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1594
5,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24303,凝血因子Ⅷ（FactorⅧ）受体抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1595
6,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24304,纽约食管鳞状细胞癌1（NY-ESO-1）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1596
7,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24305,平足蛋白（Podoplanin）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1597
8,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24306,前列腺癌相关蛋白P501S（P501S）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1598
9,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24307,前列腺干细胞抗原（PSCA）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1599
10,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24308,前列腺酸性磷酸酶（PAP）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1600
1,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24309,桥粒芯蛋白3（DSG3）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1601
2,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24310,热休克蛋白70（HSP70）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1602
3,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24311,促黄体生成素（LH）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1603
4,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24312,促黄体生成素β亚基（β-LH）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1604
5,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24313,促卵泡生成素β亚基（β-FSH）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1605
6,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24314,促卵泡生成素（FSH）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1606
7,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24315,人胎盘泌乳素（Human Placental Lactogen，HPL）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1607
8,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24316,FLI-1抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1608
9,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24317,人附睾蛋白4（HE4）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1609
10,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24318,人疱疹病毒8型（HHV-8）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1610
1,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24319,人绒毛膜促性腺激素（HCG）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1611
2,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24320,人乳脂肪球膜蛋白（MFG1）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1612
3,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24321,生长激素抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1613
4,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24322,生长抑素（Somatostatin）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1614
5,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24323,人糖蛋白激素α亚基（hCG-α）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1615
6,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24324,绒毛蛋白（Villin）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1616
7,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24325,溶菌酶（Lysozyme）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1617
8,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24326,乳腺珠蛋白（Mammaglobin）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1618
9,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24327,神经核抗原（NeuN）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1619
10,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24328,神经生长因子受体（NGFR）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1620
1,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24329,神经丝蛋白（Neurofilament）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1621
2,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24330,神经原烯醇化酶（NSE）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1622
3,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24331,肾细胞癌标志物（Renal Cell Carcinoma Marker）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1623
4,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24332,生长激素因子-1（PIT-1）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1624
5,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24333,嗜铬粒蛋白A（Chromogranin A）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1625
6,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24334,丝聚蛋白-1（Filaggrin-1）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1626
7,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24335,髓过氧化物酶（MPO）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1627
8,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24336,髓鞘碱性蛋白（MBP）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1628
9,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24337,碳酸酐酶9（CA IX）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1629
10,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24338,糖蛋白P（P-Glycoprotein）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1630
1,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24339,天冬氨酸蛋白酶（Napsin A）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1631
2,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24340,同种异体移植炎症因子1（AIF1）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1632
3,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24341,突触素（Synaptophysin）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1633
4,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24342,微管蛋白β（Tubulin-β）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1634
5,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24343,微管解聚蛋白（Stathmin）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1635
6,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24344,微小染色体维持蛋白2（MCM2）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1636
7,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24345,胃泌素（Gastrin）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1637
8,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24346,细胞角蛋白CK34Betaβ E（高分子量）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1638
9,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24347,细胞角蛋白（低分子量）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1639
10,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24348,细胞角蛋白（高分子量）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1640
1,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24349,细胞角蛋白（广谱）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1641
2,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24350,滋养层细胞表面抗原2（TROP2）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1642
3,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24351,肌球蛋白轻链2（Myosin Light Chain2）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1643
4,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24352,重链铁蛋白（Ferritin HC）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1644
5,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24353,人疱疹病毒4型（EBV）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1645
6,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24354,γ-肌聚糖蛋白（Gamma Sarcoglycan）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1646
7,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24355,抗广谱原肌球蛋白受体激酶（TRK）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1647
8,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24356,基质重塑相关蛋白8（Mxra8）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1648
9,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24357,肺表面活性蛋白A（Surfactant Protein A）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1649
10,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24358,Uroplakin Ⅱ抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1650
1,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24359,Uroplakin Ⅲ抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1651
2,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24360,髓样/组织细胞抗原（Myeloid/Histiocyte Antigen，MHA）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1652
3,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24361,肌球蛋白重链（Myosin Heavy Chain）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1653
4,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24362,生长抑素受体2（SSTR 2）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1654
5,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24363,I型胶原（Collagen Type I）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1655
6,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24364,连接蛋白43（Connexin 43，Cx43）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1656
7,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24365,Factor XⅢ A抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1657
8,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24366,热休克蛋白27（HSP27）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1658
9,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24367,骨骼肌肌球蛋白（Skeletal Myosin）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1659
10,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24368,T细胞受体抗原β F1（TCRβ F1）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1660
1,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24369,胸苷酸合成酶（Thymidylate Synthase，TS）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1661
2,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24370,肌钙蛋白-T（Troponin T）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1662
3,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24371,乙型肝炎病毒表面抗原（HBsAg） 抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1663
4,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24372,基质金属蛋白酶-9（MMP-9）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1664
5,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24373,钙黏附蛋白17（Cadherin 17）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1665
6,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24374,CD44v6抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1666
7,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24375,ARID1A抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1667
8,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24376,NKX6.1抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1668
9,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24377,ETV4抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1669
10,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24378,SMARCA2（BRM）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1670
1,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24379,HSD3B1抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1671
2,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24380,PRDM10抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1672
3,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24381,细胞角蛋白4（CK4）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1673
4,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24382,细胞角蛋白10（CK10）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1674
5,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24383,细胞角蛋白13（CK13）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1675
6,24,仅提供辅助诊断信息的免疫组化用单一抗体试剂,24384,细胞角蛋白14（CK14）抗体试剂,在常规染色（如：HE染色）基础上进行免疫组织化学染色，为病理医师提供诊断的辅助信息，不得用于指导临床用药或伴随诊断。,Ⅰ,1676
